Date,Prediction
2018-07-30,1929.8164292267825
2018-07-31,1305.7507461606067
2018-08-01,1669.2365266475622
2018-08-03,2133.9286671409823
2018-08-04,1997.3958821851425
2018-08-05,1838.3174888696476
2018-08-06,2169.3415434984454
2018-08-07,2010.5219452852134
2018-08-10,1366.115258979086
2018-08-11,1708.2884490330198
2018-08-12,2150.9796827298487
2018-08-13,1992.070326521398
2018-08-14,1810.5797414974681
2018-08-15,2119.520379040515
2018-08-16,1939.3307842054473
2018-08-17,1274.6672897733943
2018-08-18,1598.1056629897967
2018-08-19,2023.9949686855007
2018-08-20,1850.6219137302662
2018-08-21,1657.3974498234181
2018-08-22,1957.7033324373979
2018-08-23,1772.3164600049147
2018-08-24,1106.1920061722535
2018-08-25,1432.1568433383813
2018-08-26,1864.7557564388628
2018-08-27,1702.4089389442724
2018-08-28,1524.5927597285863
2018-08-29,1844.681688303085
2018-08-31,1683.3693640860329
2018-09-01,1045.449950907459
2018-09-02,1403.5113659050996
2018-09-03,1871.782932238052
2018-09-04,1748.29595571941
2018-09-05,1612.0691793478213
2018-09-07,1975.956926391514
2018-09-08,1860.0778008299071
2018-09-09,1268.604932561307
2018-09-10,1673.469170219214
2018-09-11,2188.2175573625464
2018-09-12,2110.185357196585
2018-09-13,2017.6933302373327
2018-09-14,2422.907818226672
2018-09-15,2345.2812452837456
2018-09-16,1788.3537723139657
2018-09-17,2223.467269393128
2018-09-18,2763.6337232600786
2018-09-19,2705.716151471158
2018-09-20,2627.633563732883
2018-09-21,3041.227393272417
2018-09-22,2965.70691470776
2018-09-23,2404.4543274138673
2018-09-24,2828.7406496550566
2018-09-25,3351.594557938097
2018-09-26,3269.9822950874604
2018-09-28,3162.0102711285645
2018-09-29,3539.787890976676
2018-09-30,3422.8682594465295
2018-10-01,2815.047594213988
2018-10-02,3188.074655545659
2018-10-03,3655.5124969522576
2018-10-04,3514.910830229799
2018-10-05,3345.000793776644
2018-10-06,3658.5498126583984
2018-10-07,3475.794340704875
2018-10-08,2801.2314365293146
2018-10-09,3107.320582409179
2018-10-10,3508.3381272147153
2018-10-12,3302.542700180592
2018-10-13,3069.36341423058
2018-10-14,3322.2485550636725
2018-10-15,3082.0925341876814
2018-10-16,2354.0220290582947
2018-10-17,2611.092677752885
2018-10-19,2968.138659593372
2018-10-20,2723.9334552783957
2018-10-21,2458.37355353244
2018-10-22,2685.3227553723445
2018-10-23,2426.034820236826
2018-10-24,1685.93535876907
2018-10-26,1938.314340340657
2018-10-27,2298.1715693079777
2018-10-28,2064.3734696665642
2018-10-29,1816.8330156175182
2018-10-30,2069.3505533771613
2018-10-31,1843.033374869494
2018-11-01,1143.0750836942213
2018-11-02,1442.4462723032557
2018-11-03,1855.7390253364567
2018-11-04,1681.3237540416885
2018-11-05,1498.530362071575
2018-11-06,1820.491641272965
2018-11-07,1667.5668944405973
2018-11-08,1044.1269374701292
2018-11-09,1422.2520805357399
2018-11-10,1915.5856459639401
2018-11-11,1821.5015269483465
2018-11-12,1718.297738303324
2018-11-13,2118.0537572826493
2018-11-14,2040.0694974525811
2018-11-15,1487.666860512578
2018-11-16,1931.9052061014343
2018-11-17,2485.4529890529093
2018-11-18,2444.7737164168884
2018-11-19,2387.3377869717656
2018-11-20,2824.4975944539356
2018-11-21,2774.943302289638
2018-11-22,2241.5197920860437
2018-11-23,2694.955687826268
2018-11-24,3247.7462840920234
2018-11-25,3196.3481392985523
2018-11-26,3118.396547571389
2018-11-27,3525.5829758218333
2018-11-28,3437.1096445800185
2018-11-29,2856.501600976738
2018-11-30,3255.3271154919094
2018-12-01,3747.0682502835043
2018-12-02,3629.299473429536
2018-12-03,3480.885741540922
2018-12-04,3814.8374406975904
2018-12-05,3651.739758579557
2018-12-06,2996.5373152252037
2018-12-07,3322.225438902581
2018-12-08,3743.69055441816
2018-12-09,3559.8582288149164
2018-12-10,3350.861003280208
2018-12-11,3630.8641264310263
2018-12-13,3421.467487785443
2018-12-14,2728.4652868111816
2018-12-15,3025.5154950837373
2018-12-16,3427.9621944296373
2018-12-17,3234.969878268948
2018-12-18,3026.682297713186
2018-12-19,3317.0443160834056
2018-12-20,3127.2053029012477
2018-12-21,2462.2857090576435
2018-12-22,2795.058854737513
2018-12-23,3239.790851458227
2018-12-24,3094.3974487679084
2018-12-25,2937.629959153888
2018-12-26,3281.9281728678357
2018-12-27,3146.858128760962
2018-12-28,2535.9156188817833
2018-12-29,2920.246612579217
2018-12-30,3412.5266133219293
